id_filename,decision_sign,name,party,legal area,entscheid
8795,7B_1215/2024,Koch,SP,Strafrecht,gutgeheissen
8796,4A_324/2024,Rüedi,SVP,Zivilrecht,nicht eingetreten
8797,2F_9/2025,Ryter,SP,AndererBereich,nicht eingetreten
8798,4F_24/2024,Denys,Grüne,AndererBereich,abgewiesen
8799,5A_10/2025,Josi,SVP,Zivilrecht,abgewiesen
87,4A_236/2024,Rüedi,SVP,Zivilrecht,nicht eingetreten
8802,9C_498/2024,Bollinger,SVP,Öffentliches Recht,abgewiesen
8803,4A_282/2024,Denys,Grüne,Zivilrecht,gutgeheissen
8809,2C_85/2025,Kradolfer,FDP,Öffentliches Recht,abgewiesen
880,1C_579/2025,Merz,Mitte,Öffentliches Recht,abgewiesen
8810,6B_65/2025,von Felten,Die Mitte,Strafrecht,abgewiesen
8811,6B_567/2024,Guidon,SVP,Strafrecht,abgewiesen
8812,5A_831/2024,Josi,SVP,Zivilrecht,abgewiesen
8813,"5A_661/2023, 5A_686/2023",Josi,SVP,Zivilrecht,nicht eingetreten
8814,2C_581/2024,Hänni,Die Mitte,Öffentliches Recht,abgewiesen
8815,5A_379/2024,De Rossa,SP,Zivilrecht,nicht eingetreten
8817,5A_611/2024,Josi,SVP,Zivilrecht,abgewiesen
8818,5A_197/2025,Josi,SVP,Zivilrecht,abgewiesen
8819,2C_357/2024,Hänni,Die Mitte,Öffentliches Recht,abgewiesen
881,1C_341/2025,Kneubühler,SP,Öffentliches Recht,gutgeheissen
8821,7B_1349/2024,Kölz,Grüne,Strafrecht,abgewiesen
8822,7B_1350/2024,Kölz,Grüne,Strafrecht,abgewiesen
8828,9C_111/2025,Bollinger,SVP,Öffentliches Recht,gutgeheissen
882,1C_183/2026,Mecca,FDP,Öffentliches Recht,nicht eingetreten
8833,1C_214/2024,Merz,Mitte,Öffentliches Recht,abgewiesen
8836,1C_508/2024,Fellmann,SP,Öffentliches Recht,abgewiesen
8837,2C_44/2024,Kradolfer,FDP,Öffentliches Recht,abgewiesen
8839,7B_478/2024,Kölz,Grüne,Strafrecht,abgewiesen
883,7B_1258/2025,Koch,SP,Strafrecht,gutgeheissen
8841,6B_607/2024,Rüedi,SVP,Strafrecht,abgewiesen
8842,7B_1205/2024,Hofmann,Die Mitte,Strafrecht,nicht eingetreten
