id_filename,decision_sign,name,party,legal area,entscheid
181,4A_479/2025,Denys,Grüne,Zivilrecht,abgewiesen
183,6B_359/2024,Wohlhauser,SP,Strafrecht,teilweise gutgeheissen
184,6B_870/2025,Wohlhauser,SP,Strafrecht,abgewiesen
185,5A_183/2026,Josi,SVP,Zivilrecht,gutgeheissen
186,6B_155/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
187,6B_51/2026,Wohlhauser,SP,Strafrecht,abgewiesen
188,8C_527/2025,Bollinger,SVP,Öffentliches Recht,abgewiesen
189,6B_459/2025,Segura,FDP,Strafrecht,abgewiesen
18,6B_720/2025,Glassey,Die Mitte,Strafrecht,abgewiesen
193,"9C_533/2024, 9C_540/2024",Beusch,SP,Öffentliches Recht,gutgeheissen
195,6B_200/2026,Guidon,SVP,Strafrecht,gutgeheissen
196,6B_214/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
197,6B_947/2025,Heine,SVP,Strafrecht,abgewiesen
198,7B_118/2026,Kölz,Grüne,Strafrecht,teilweise gutgeheissen
19,6B_168/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
1,1C_85/2026,Merz,Mitte,Öffentliches Recht,abgewiesen
200,7B_650/2026,Koch,SP,Strafrecht,gutgeheissen
201,8C_170/2026,Scherrer Reber,FDP,Öffentliches Recht,teilweise gutgeheissen
203,8C_235/2026,Métral,Grüne,Öffentliches Recht,gutgeheissen
204,8C_365/2025,Bechaalany,SP,Öffentliches Recht,gutgeheissen
205,5A_545/2026,De Rossa,SP,Zivilrecht,nicht eingetreten
206,7B_588/2026,Kölz,Grüne,Strafrecht,gutgeheissen
207,7B_708/2026,Hofmann,Die Mitte,Strafrecht,gutgeheissen
20,6B_945/2025,Guidon,SVP,Strafrecht,abgewiesen
214,1G_1/2026,Merz,Mitte,AndererBereich,abgewiesen
215,2C_212/2025,Hänni,Die Mitte,Öffentliches Recht,abgewiesen
216,5A_1008/2025,Josi,SVP,Zivilrecht,abgewiesen
217,5A_1105/2025,Josi,SVP,Zivilrecht,abgewiesen
218,5A_140/2026,Josi,SVP,Zivilrecht,abgewiesen
21,7B_1279/2025,Brunner,SVP,Strafrecht,abgewiesen
220,8C_701/2025,Métral,Grüne,Öffentliches Recht,abgewiesen
221,4A_156/2025,Lötscher,SP,Zivilrecht,gutgeheissen
222,7B_1318/2024,Hofmann,Die Mitte,Strafrecht,abgewiesen
223,7B_78/2025,Hofmann,Die Mitte,Strafrecht,nicht eingetreten
224,9C_697/2024,Parrino,SP,Öffentliches Recht,gutgeheissen
226,9C_213/2026,Parrino,SP,Öffentliches Recht,abgewiesen
227,6B_198/2026,Wohlhauser,SP,Strafrecht,teilweise gutgeheissen
228,9C_547/2025,Bollinger,SVP,Öffentliches Recht,teilweise gutgeheissen
230,9C_652/2025,Parrino,SP,Öffentliches Recht,abgewiesen
233,5A_323/2026,De Rossa,SP,Zivilrecht,abgewiesen
234,9C_538/2024,Parrino,SP,Öffentliches Recht,teilweise gutgeheissen
235,7B_1105/2025,Kölz,Grüne,Strafrecht,nicht eingetreten
236,9F_10/2026,Beusch,SP,AndererBereich,nicht eingetreten
238,5A_991/2025,Josi,SVP,Zivilrecht,abgeschrieben
239,6B_791/2025,Guidon,SVP,Strafrecht,teilweise gutgeheissen
23,5A_1120/2025,De Rossa,SP,Zivilrecht,abgewiesen
242,9F_14/2026,Bollinger,SVP,AndererBereich,nicht eingetreten
245,5A_543/2026,Josi,SVP,Zivilrecht,abgewiesen
248,5A_549/2026,Josi,SVP,Zivilrecht,abgewiesen
252,5F_25/2026,Josi,SVP,AndererBereich,nicht eingetreten
253,5A_395/2025,Josi,SVP,Zivilrecht,abgewiesen
255,5A_556/2026,De Rossa,SP,Zivilrecht,abgewiesen
258,5A_911/2025,De Rossa,SP,Zivilrecht,abgewiesen
259,4A_244/2025,Rüedi,SVP,Zivilrecht,abgewiesen
25,5A_234/2026,Josi,SVP,Zivilrecht,nicht eingetreten
261,8C_571/2025,Scherrer Reber,FDP,Öffentliches Recht,abgewiesen
262,6B_313/2025,Segura,FDP,Strafrecht,abgewiesen
263,7B_264/2026,Hofmann,Die Mitte,Strafrecht,nicht eingetreten
264,8C_672/2025,Heine,SVP,Öffentliches Recht,gutgeheissen
265,"9C_280/2025, 9C_286/2025",Beusch,SP,Öffentliches Recht,gutgeheissen
268,2F_10/2026,Ryter,SP,AndererBereich,nicht eingetreten
269,6B_281/2026,Guidon,SVP,Strafrecht,abgewiesen
26,5A_841/2025,Josi,SVP,Zivilrecht,abgewiesen
270,"5A_1125/2025, 5A_3/2026",Josi,SVP,Zivilrecht,abgewiesen
272,6B_79/2026,Segura,FDP,Strafrecht,teilweise gutgeheissen
273,6B_207/2026,Glassey,Die Mitte,Strafrecht,abgewiesen
275,7B_330/2026,Hofmann,Die Mitte,Strafrecht,abgewiesen
279,6B_13/2026,von Felten,Die Mitte,Strafrecht,gutgeheissen
27,1C_331/2026,Merz,Mitte,Öffentliches Recht,nicht eingetreten
280,7B_1021/2024,Hofmann,Die Mitte,Strafrecht,nicht eingetreten
281,8C_690/2025,Métral,Grüne,Öffentliches Recht,abgewiesen
283,5A_12/2026,De Rossa,SP,Zivilrecht,nicht eingetreten
284,1C_221/2024,Mecca,FDP,Öffentliches Recht,abgewiesen
285,"4A_285/2025,",Denys,Grüne,Zivilrecht,abgewiesen
286,4A_387/2025,May Canellas,Die Mitte,Zivilrecht,nicht eingetreten
